#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
2A|REF03||GLN|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF03||GLN|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-05T14:59:59.951000Z
2A|REF03||GLN|M|1000.0|2018-01-05T15:00:00.000000Z|2018-01-08T13:59:59.991000Z
2A|REF03||GLN|M|1000.0|2018-01-08T14:00:00.000000Z|2018-01-11T06:59:59.969000Z
2A|REF03||GLN|M|1000.0|2018-01-11T07:00:00.000000Z|2018-01-12T01:59:59.985000Z
2A|REF03||GLN|M|1000.0|2018-01-12T02:00:00.000000Z|2018-01-14T03:59:59.987000Z
2A|REF03||GLN|M|1000.0|2018-01-14T04:00:00.000000Z|2018-01-20T11:59:59.971000Z
2A|REF03||GLN|M|1000.0|2018-01-20T12:00:00.000000Z|2018-01-23T09:59:59.985000Z
2A|REF03||GLN|M|1000.0|2018-01-23T10:00:00.000000Z|2018-01-24T15:59:59.943000Z
2A|REF03||GLN|M|1000.0|2018-01-24T16:00:00.000000Z|2018-01-26T07:14:58.249000Z
2A|REF03||GLZ|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF03||GLZ|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-09T09:59:59.937000Z
2A|REF03||GLZ|M|1000.0|2018-01-09T10:00:00.000000Z|2018-01-10T10:59:59.975000Z
2A|REF03||GLZ|M|1000.0|2018-01-10T11:00:00.000000Z|2018-01-11T14:59:59.973000Z
2A|REF03||GLZ|M|1000.0|2018-01-11T15:00:00.000000Z|2018-01-12T21:59:59.987000Z
2A|REF03||GLZ|M|1000.0|2018-01-12T22:00:00.000000Z|2018-01-15T15:59:59.959000Z
2A|REF03||GLZ|M|1000.0|2018-01-15T16:00:00.000000Z|2018-01-21T03:59:59.981000Z
2A|REF03||GLZ|M|1000.0|2018-01-21T04:00:00.000000Z|2018-01-24T15:59:59.981000Z
2A|REF03||GLZ|M|1000.0|2018-01-24T16:00:00.000000Z|2018-01-26T07:14:58.999000Z
2A|REF04||GLE|M|1000.0|2017-12-30T00:00:00.000000Z|2018-01-03T17:59:59.937000Z
2A|REF04||GLE|M|1000.0|2018-01-03T18:00:00.000000Z|2018-01-03T23:59:59.999000Z
2A|REF04||GLE|M|1000.0|2018-01-05T00:00:00.000000Z|2018-01-05T00:02:31.499000Z
2A|REF04||GLE|M|1000.0|2018-01-05T00:03:12.000000Z|2018-01-05T00:03:26.532000Z
2A|REF04||GLE|M|1000.0|2018-01-05T00:03:27.533000Z|2018-01-05T00:03:44.532000Z
2A|REF04||GLE|M|1000.0|2018-01-05T00:03:45.000000Z|2018-01-06T00:02:27.749000Z
2A|REF04||GLE|M|1000.0|2018-01-06T00:03:08.000000Z|2018-01-06T00:03:22.530000Z
2A|REF04||GLE|M|1000.0|2018-01-06T00:03:23.531000Z|2018-01-06T00:03:40.530000Z
2A|REF04||GLE|M|1000.0|2018-01-06T00:03:41.000000Z|2018-01-06T00:59:59.995000Z
2A|REF04||GLE|M|1000.0|2018-01-06T01:00:00.000000Z|2018-01-07T00:02:48.749000Z
2A|REF04||GLE|M|1000.0|2018-01-07T00:03:29.000000Z|2018-01-07T00:03:43.527000Z
2A|REF04||GLE|M|1000.0|2018-01-07T00:03:44.528000Z|2018-01-07T00:04:01.527000Z
2A|REF04||GLE|M|1000.0|2018-01-07T00:04:02.000000Z|2018-01-07T07:59:59.955000Z
2A|REF04||GLE|M|1000.0|2018-01-07T08:00:00.000000Z|2018-01-07T23:58:53.439000Z
2A|REF04||GLE|M|1000.0|2018-01-07T23:59:03.500000Z|2018-01-08T00:03:15.499000Z
2A|REF04||GLE|M|1000.0|2018-01-08T00:03:57.000000Z|2018-01-08T00:04:11.532000Z
2A|REF04||GLE|M|1000.0|2018-01-08T00:04:12.533000Z|2018-01-08T00:04:19.503000Z
2A|REF04||GLE|M|1000.0|2018-01-08T00:04:49.000000Z|2018-01-08T11:59:59.993000Z
2A|REF04||GLE|M|1000.0|2018-01-08T12:00:00.000000Z|2018-01-09T00:02:32.749000Z
2A|REF04||GLE|M|1000.0|2018-01-09T00:03:13.000000Z|2018-01-09T00:03:22.970000Z
2A|REF04||GLE|M|1000.0|2018-01-09T00:04:36.000000Z|2018-01-10T00:02:32.749000Z
