,Network,Station,Location,Channel,Start,End
220,2A,REF11,,GLZ,2018-01-06T00:00:00.000000Z,2018-01-07T00:00:00.000000Z
221,2A,BBS05,,HHE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
222,2A,BBS05,,HHN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
223,2A,BBS05,,HHZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
224,2A,BBS06,,HHE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
225,2A,BBS06,,HHN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
226,2A,BBS06,,HHZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
227,2A,BBS09,,HHE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
228,2A,BBS09,,HHN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
229,2A,BBS09,,HHZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
230,2A,REF01,,GLE,2018-01-07T00:00:00.000000Z,2018-01-07T14:59:59.967000Z
231,2A,REF01,,GLE,2018-01-07T15:00:00.000000Z,2018-01-08T00:00:00.000000Z
232,2A,REF01,,GLN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
233,2A,REF01,,GLZ,2018-01-07T00:00:00.000000Z,2018-01-07T10:59:59.975000Z
234,2A,REF01,,GLZ,2018-01-07T11:00:00.000000Z,2018-01-08T00:00:00.000000Z
235,2A,REF02,,GLE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
236,2A,REF02,,GLN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
237,2A,REF02,,GLZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
238,2A,REF03,,GLE,2018-01-07T00:00:00.000000Z,2018-01-07T22:59:59.985000Z
239,2A,REF03,,GLE,2018-01-07T23:00:00.000000Z,2018-01-08T00:00:00.000000Z
240,2A,REF03,,GLN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
241,2A,REF03,,GLZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
242,2A,REF04,,GLE,2018-01-07T00:00:00.000000Z,2018-01-07T00:02:48.749000Z
243,2A,REF04,,GLE,2018-01-07T00:03:29.000000Z,2018-01-07T00:03:43.527000Z
244,2A,REF04,,GLE,2018-01-07T00:03:44.528000Z,2018-01-07T00:04:01.527000Z
245,2A,REF04,,GLE,2018-01-07T00:04:02.000000Z,2018-01-07T07:59:59.955000Z
246,2A,REF04,,GLE,2018-01-07T08:00:00.000000Z,2018-01-07T23:58:53.439000Z
247,2A,REF04,,GLE,2018-01-07T23:59:03.500000Z,2018-01-08T00:00:00.000000Z
248,2A,REF04,,GLN,2018-01-07T00:00:00.000000Z,2018-01-07T00:02:48.749000Z
249,2A,REF04,,GLN,2018-01-07T00:03:29.000000Z,2018-01-07T00:03:43.527000Z
250,2A,REF04,,GLN,2018-01-07T00:03:44.528000Z,2018-01-07T00:04:01.527000Z
251,2A,REF04,,GLN,2018-01-07T00:04:02.000000Z,2018-01-07T02:59:59.949000Z
252,2A,REF04,,GLN,2018-01-07T03:00:00.000000Z,2018-01-07T23:58:53.499000Z
253,2A,REF04,,GLN,2018-01-07T23:59:04.500000Z,2018-01-08T00:00:00.000000Z
254,2A,REF04,,GLZ,2018-01-07T00:00:00.000000Z,2018-01-07T00:02:48.749000Z
255,2A,REF04,,GLZ,2018-01-07T00:03:29.000000Z,2018-01-07T00:03:43.527000Z
256,2A,REF04,,GLZ,2018-01-07T00:03:44.528000Z,2018-01-07T00:04:01.527000Z
257,2A,REF04,,GLZ,2018-01-07T00:04:02.000000Z,2018-01-07T23:58:54.249000Z
258,2A,REF04,,GLZ,2018-01-07T23:59:04.500000Z,2018-01-08T00:00:00.000000Z
259,2A,REF07,,GLE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
260,2A,REF07,,GLN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
261,2A,REF07,,GLZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
262,2A,REF08,,GLE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
263,2A,REF08,,GLN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
264,2A,REF08,,GLZ,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
265,2A,REF10,,GLE,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
266,2A,REF10,,GLN,2018-01-07T00:00:00.000000Z,2018-01-08T00:00:00.000000Z
