,event_id,group,similarity
155,20180120T020719Z,5a,0.7852884928802295
156,20180120T020734Z,1c,0.8614610051817625
157,20180120T021032Z,3d,0.6576605741848044
158,20180120T021137Z,1c,0.8490622865728589
159,20180120T021204Z,1c,0.9007138756911917
160,20180120T021227Z,1d,0.8931050170078092
161,20180120T021256Z,1a,0.8484363771206435
162,20180120T021310Z,4a,0.7839938127842316
163,20180120T021449Z,6d,0.7907620042660723
164,20180120T021629Z,1d,0.8201547531684467
165,20180120T021706Z,1c,0.8585911425629562
166,20180120T021831Z,2c,0.8101494604058297
167,20180120T021844Z,1c,0.8081372956512726
168,20180120T021937Z,3d,0.6767188958034
169,20180120T022001Z,4b,0.7875937938332154
170,20180120T022044Z,3c,0.6931210216379214
171,20180120T022055Z,1c,0.8394312023269834
172,20180120T022138Z,2a,0.826112831753441
173,20180120T022257Z,2c,0.7708785578387021
174,20180120T022311Z,1c,0.9109080694654478
175,20180120T022442Z,2d,0.7515239850186107
176,20180120T022510Z,1c,0.87425121063032
177,20180120T022549Z,2a,0.840577911236291
178,20180120T022624Z,1c,0.8624026370534468
179,20180120T022718Z,2a,0.8336317430618223
180,20180120T022736Z,2c,0.7870917577853062
181,20180120T022754Z,1c,0.9238791167509905
182,20180120T022826Z,1d,0.8269299029114837
183,20180120T022856Z,2a,0.8235433679279626
184,20180120T022906Z,1c,0.8553822973841834
185,20180120T023022Z,4b,0.7819962551337093
186,20180120T023054Z,2c,0.7811895936400881
187,20180120T023142Z,2b,0.817659055922532
188,20180120T023223Z,1c,0.9135299531458403
189,20180120T023259Z,1c,0.8108999631642982
190,20180120T023359Z,1b,0.8662558496395721
191,20180120T023544Z,3d,0.6642202798563305
192,20180120T023747Z,1a,0.8398553229509242
193,20180120T023840Z,2c,0.7577189617053325
194,20180120T023858Z,1b,0.8595892286019712
195,20180120T024017Z,1c,0.8788263224929412
196,20180120T024215Z,7b,0.7325922324227219
197,20180120T024255Z,1c,0.916645716331674
198,20180120T024350Z,3d,0.6725371535806703
199,20180120T024453Z,1c,0.8857084007257812
200,20180120T024518Z,1d,0.8283497873239299
201,20180120T024836Z,3d,0.7397996953583211
202,20180120T024856Z,8b,0.662958347332443
203,20180120T024930Z,8d,0.6527955127913421
204,20180120T025016Z,1b,0.8756867281577033
205,20180120T025035Z,1c,0.8863875451591109
206,20180120T025053Z,1a,0.8339251288105006
207,20180120T025127Z,3c,0.7327562614752278
208,20180120T025214Z,1a,0.8658979642282563
209,20180120T025237Z,2a,0.8105425310165583
210,20180120T025300Z,5b,0.8153786983768893
211,20180120T025310Z,1c,0.8944831237992092
212,20180120T025328Z,4d,0.7929092915888677
213,20180120T025354Z,4b,0.7689243731407059
214,20180120T025457Z,1c,0.8511316468552433
215,20180120T025532Z,2a,0.83789538633617
216,20180120T025549Z,6a,0.7789698225650816
217,20180120T025622Z,1d,0.8760657074985305
218,20180120T025757Z,1a,0.8011652652279507
219,20180120T025809Z,5c,0.7529246837375463
220,20180120T025906Z,2a,0.7575505403687213
221,20180120T030020Z,1b,0.8397870820849689
222,20180120T030236Z,2a,0.7849445889635641
223,20180120T030339Z,8c,0.6834296069205008
224,20180120T030413Z,1d,0.8328213608926937
225,20180120T030444Z,2b,0.7613389806965767
226,20180120T030555Z,2a,0.8184665247602572
227,20180120T030655Z,5a,0.7586055810893316
228,20180120T030737Z,2c,0.7696868806873253
