,event_id,arrival,group
754,20180120T092003Z,659,9
755,20180120T092012Z,695,9
756,20180120T092042Z,659,9
757,20180120T092051Z,965,9
758,20180120T092457Z,956,7
759,20180120T092915Z,U,10
760,20180120T093006Z,U,10
761,20180120T093632Z,965,9
762,20180120T094108Z,596,9
763,20180120T094203Z,U,10
764,20180120T094412Z,596,6
765,20180120T094752Z,659,9
766,20180120T095105Z,U,10
767,20180120T095144Z,596,9
768,20180120T095429Z,956,9
769,20180120T095817Z,U,10
770,20180120T095826Z,596,9
771,20180120T095919Z,U,10
772,20180120T100149Z,596,9
773,20180120T100335Z,965,9
774,20180120T100835Z,659,2
775,20180120T101015Z,569,6
776,20180120T101207Z,965,9
777,20180120T101401Z,569,9
778,20180120T101442Z,695,5
779,20180120T101607Z,596,1
780,20180120T102015Z,695,1
781,20180120T102059Z,U,10
782,20180120T102117Z,956,1
783,20180120T102523Z,956,9
784,20180120T103108Z,596,1
785,20180120T103139Z,U,10
786,20180120T103425Z,965,1
787,20180120T103806Z,965,9
788,20180120T104013Z,U,9
789,20180120T104503Z,695,3
790,20180120T104753Z,956,6
791,20180120T105000Z,596,7
792,20180120T105017Z,U,10
793,20180120T105603Z,596,9
794,20180120T110153Z,596,9
795,20180120T110309Z,U,10
796,20180120T110511Z,U,10
797,20180120T110622Z,965,9
798,20180120T110845Z,596,9
799,20180120T110947Z,956,9
800,20180120T111304Z,U,10
801,20180120T111717Z,U,7
802,20180120T111940Z,U,10
803,20180120T112332Z,596,7
804,20180120T112841Z,965,9
805,20180120T112938Z,965,9
806,20180120T113028Z,569,9
807,20180120T113158Z,659,1
808,20180120T113242Z,659,9
809,20180120T113421Z,U,10
810,20180120T113554Z,U,10
811,20180120T113906Z,965,9
812,20180120T113935Z,U,10
813,20180120T114106Z,695,9
814,20180120T114251Z,965,9
815,20180120T114443Z,U,10
816,20180120T114616Z,956,9
817,20180120T114730Z,695,5
818,20180120T114754Z,596,9
819,20180120T114835Z,596,1
820,20180120T115139Z,956,2
821,20180120T115150Z,596,9
822,20180120T115407Z,956,6
823,20180120T115417Z,965,9
824,20180120T115527Z,956,1
825,20180120T115553Z,695,9
826,20180120T115738Z,596,9
827,20180120T115913Z,659,9
828,20180120T120002Z,965,9
829,20180120T120152Z,569,7
830,20180120T120216Z,965,7
831,20180120T120242Z,965,9
832,20180120T120353Z,965,1
833,20180120T120419Z,695,3
834,20180120T120450Z,965,9
835,20180120T120521Z,965,9
836,20180120T120711Z,695,9
837,20180120T120933Z,569,9
838,20180120T121352Z,596,8
839,20180120T121543Z,U,10
840,20180120T121731Z,965,9
841,20180120T121748Z,659,9
842,20180120T122228Z,596,9
843,20180120T122245Z,659,9
844,20180120T122623Z,U,10
845,20180120T122830Z,695,9
846,20180120T122927Z,U,10
847,20180120T123045Z,596,9
848,20180120T123156Z,596,9
849,20180120T123224Z,U,10
850,20180120T123521Z,596,9
851,20180120T123751Z,596,9
852,20180120T123831Z,695,9
853,20180120T123907Z,U,10
854,20180120T124025Z,659,9
855,20180120T124058Z,596,9
856,20180120T124113Z,596,7
857,20180120T124320Z,965,9
858,20180120T124609Z,965,9
859,20180120T124803Z,U,10
860,20180120T124917Z,956,9
861,20180120T124944Z,659,2
862,20180120T125109Z,695,9
863,20180120T125333Z,U,10
864,20180120T125519Z,U,10
865,20180120T125546Z,596,1
866,20180120T125554Z,596,1
867,20180120T125623Z,596,9
868,20180120T125657Z,956,9
869,20180120T125716Z,596,1
870,20180120T125805Z,569,8
871,20180120T130109Z,695,9
872,20180120T130311Z,596,9
873,20180120T130334Z,596,9
874,20180120T130438Z,596,1
875,20180120T130545Z,695,9
876,20180120T130615Z,U,10
877,20180120T130710Z,U,10
878,20180120T130915Z,695,9
879,20180120T130944Z,965,1
880,20180120T131113Z,596,9
881,20180120T131120Z,965,9
882,20180120T131415Z,U,10
883,20180120T131422Z,659,9
884,20180120T131457Z,596,9
885,20180120T131521Z,695,1
886,20180120T131759Z,965,9
887,20180120T131854Z,U,10
888,20180120T132429Z,965,8
889,20180120T132501Z,695,9
890,20180120T132515Z,965,9
891,20180120T132641Z,659,9
892,20180120T132650Z,659,3
893,20180120T132740Z,569,1
894,20180120T133136Z,956,6
895,20180120T133207Z,596,6
896,20180120T133453Z,569,7
897,20180120T133905Z,965,1
898,20180120T133940Z,596,9
899,20180120T133954Z,U,10
900,20180120T134023Z,569,8
901,20180120T134621Z,596,1
902,20180120T134650Z,596,9
903,20180120T134659Z,596,9
904,20180120T134707Z,596,1
905,20180120T134918Z,596,8
906,20180120T135041Z,695,9
907,20180120T135105Z,956,2
908,20180120T135304Z,596,1
909,20180120T135444Z,U,10
910,20180120T135819Z,U,10
911,20180120T135929Z,659,9
912,20180120T140307Z,U,10
913,20180120T140527Z,965,9
914,20180120T140910Z,U,10
915,20180120T140931Z,965,9
916,20180120T140950Z,956,9
917,20180120T141014Z,U,10
918,20180120T141035Z,956,2
919,20180120T141057Z,596,9
920,20180120T141139Z,u,10
921,20180120T141346Z,596,9
922,20180120T141438Z,U,10
923,20180120T141449Z,965,9
924,20180120T141558Z,965,9
925,20180120T141616Z,U,10
926,20180120T141743Z,596,1
927,20180120T141830Z,659,1
928,20180120T141911Z,956,6
929,20180120T142320Z,659,9
