,event_id,stations,ref_time,ref_duration,group
198,20180211T084129Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T08:41:29.510000Z,6.471988,2a
199,20180211T085405Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T08:54:05.820000Z,14.651988,4b
200,20180211T091357Z,"['2A.BBS09.', '2A.BBS06.', '2A.BBS05.']",2018-02-11T09:13:57.850000Z,7.461988,5c
201,20180211T093127Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T09:31:27.120000Z,8.961989,1c
202,20180211T093242Z,"['2A.BBS09.', '2A.BBS05.', '2A.BBS06.']",2018-02-11T09:32:42.720000Z,8.961989,1c
203,20180211T093505Z,"['2A.BBS06.', '2A.BBS09.', '2A.BBS05.']",2018-02-11T09:35:05.380000Z,5.761988,2d
204,20180211T094003Z,"['2A.BBS06.', '2A.BBS05.', '2A.BBS09.']",2018-02-11T09:40:03.690000Z,3.451988,8c
205,20180211T095224Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T09:52:24.460000Z,3.511988,3d
206,20180211T095915Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T09:59:15.500000Z,3.511988,3d
207,20180211T101351Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T10:13:51.980000Z,1.051989,3b
208,20180211T101408Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-11T10:14:08.760000Z,0.821989,3c
209,20180211T101441Z,"['2A.BBS05.', '2A.BBS09.', '2A.BBS06.']",2018-02-11T10:14:41.220000Z,8.911989,4d
210,20180211T102000Z,"['2A.BBS06.', '2A.BBS09.']",2018-02-11T10:20:00.180000Z,1.051989,3b
211,20180211T103306Z,"['2A.BBS05.', '2A.BBS06.', '2A.BBS09.']",2018-02-11T10:33:06.970000Z,3.511988,3d
212,20180211T103345Z,"['2A.BBS05.', '2A.BBS06.']",2018-02-11T10:33:45.780000Z,0.821989,3c
