,event_id,group,similarity
144,20180103T113149Z,5a,0.8206584695111455
145,20180103T113634Z,2c,0.8924656196891128
146,20180103T113652Z,3d,0.7347235333429598
147,20180103T113841Z,5a,0.801939886169338
148,20180103T114055Z,1c,0.9300013193670117
149,20180103T114406Z,2b,0.832664925106891
150,20180103T115047Z,8d,0.7407289871146223
151,20180103T115115Z,2a,0.8196270315264774
152,20180103T115308Z,2b,0.9004309495822695
153,20180103T115455Z,1c,0.9348670304476012
154,20180103T120137Z,8d,0.7107630481730977
155,20180103T120207Z,2c,0.8668438449430861
156,20180103T120319Z,2c,0.8257780400671667
157,20180103T120709Z,1c,0.9087019247281931
158,20180103T121319Z,2b,0.8040791379743701
159,20180103T121536Z,2a,0.8096778531779547
160,20180103T122016Z,8c,0.7186059605741387
161,20180103T122150Z,4b,0.8060825734233308
162,20180103T122453Z,6d,0.8448450499386053
163,20180103T123207Z,2b,0.8175159789249751
164,20180103T124146Z,5a,0.8298875888941784
165,20180103T124331Z,6a,0.8102093480873311
166,20180103T124524Z,5c,0.8048090876778714
167,20180103T124545Z,1a,0.9126344624259293
168,20180103T124556Z,6a,0.845389195794977
169,20180103T124941Z,1c,0.9505051316144384
170,20180103T125300Z,2d,0.818038533713345
171,20180103T125356Z,6a,0.8150952208852205
172,20180103T125507Z,8b,0.7131278015467558
173,20180103T125542Z,5c,0.8165830051584172
174,20180103T125617Z,3d,0.7347497959371595
175,20180103T130657Z,2b,0.8320626722447331
176,20180103T130828Z,1c,0.9369056189900397
177,20180103T130916Z,3b,0.717091108863985
178,20180103T132001Z,2c,0.8146167938896873
179,20180103T132303Z,1b,0.9181812761264133
180,20180103T132648Z,2c,0.8229134981633544
181,20180103T132902Z,1a,0.9035057111346222
182,20180103T133254Z,1c,0.9158178203125218
183,20180103T133354Z,8b,0.7018974103692678
184,20180103T134020Z,5c,0.8688129720128503
185,20180103T134605Z,4b,0.8061109510230049
186,20180103T134616Z,6c,0.8361731570914431
187,20180103T135002Z,8d,0.7064931258267466
188,20180103T135300Z,5a,0.861230502088586
189,20180103T140136Z,5a,0.8197505628052528
190,20180103T140309Z,7d,0.7291630639425535
191,20180103T140517Z,8c,0.703599293772755
192,20180103T140929Z,1c,0.9145034527917524
193,20180103T141952Z,1b,0.9179157411007438
194,20180103T142153Z,2c,0.8262078364796965
195,20180103T142734Z,1c,0.9239781517679637
196,20180103T143030Z,3d,0.7374564325715439
197,20180103T143127Z,3c,0.7605660855803531
198,20180103T144147Z,4b,0.850429654072039
199,20180103T144339Z,2a,0.8589125171160056
200,20180103T145228Z,8d,0.7092938065221523
201,20180103T145353Z,6a,0.8180651324149028
202,20180103T150153Z,2b,0.8214214104704063
203,20180103T151454Z,5c,0.8023427662940174
204,20180103T151537Z,3a,0.7239202957138263
205,20180103T152116Z,1a,0.90142321808585
206,20180103T153324Z,2a,0.8130369850170599
207,20180103T153417Z,2c,0.8558063122978999
208,20180103T153548Z,7d,0.7267229718319995
209,20180103T153638Z,2a,0.8563129727304899
210,20180103T153737Z,5a,0.8208210171386249
211,20180103T154256Z,2d,0.8152328817844369
212,20180103T154620Z,3d,0.74875515434909
213,20180103T155328Z,1c,0.9437631427575142
214,20180103T160014Z,1c,0.947385921086078
215,20180103T160221Z,5c,0.8314439400517785
216,20180103T160237Z,2a,0.8843787296411519
217,20180103T160735Z,3d,0.7194305415371938
218,20180103T160855Z,3b,0.7365307175154999
219,20180103T161816Z,3d,0.7113641021233643
220,20180103T162203Z,1c,0.9175815699100207
221,20180103T162928Z,1c,0.9325566739474067
222,20180103T163007Z,1c,0.903281493559197
223,20180103T164013Z,4b,0.8232979721004654
224,20180103T164620Z,1c,0.9215963909440199
225,20180103T164634Z,1a,0.9468503171698125
226,20180103T164853Z,6c,0.8633451169035559
227,20180103T165321Z,2d,0.8392068679924412
228,20180103T165530Z,4b,0.8112730270421632
229,20180103T165548Z,1c,0.9238638217252669
230,20180103T165631Z,5c,0.8335212941183395
231,20180103T165715Z,2c,0.8150917746060345
232,20180103T170238Z,1c,0.9167439514477854
233,20180103T170315Z,1a,0.9115084820293965
234,20180103T170735Z,8c,0.7529800314527493
235,20180103T171637Z,3d,0.7232418246387524
236,20180103T171736Z,6c,0.8193301448356006
237,20180103T171835Z,6a,0.856689371716387
238,20180103T173708Z,6a,0.8983955428682837
